OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0046,Porters Creek Above Shutts Prong,River/Stream Perennial,Stream System: Middle Prong Little Pigeon  Stream Order: 3  UTMX=283078; UTMY=3949670  Other: From original park report: Route 2 - Middle Prong of the Little Pigeon River. Site 46 (Old Site 27B) - Porters Creek above confluence of Shutts Prong just off the Trail at 2750 ft.,6010107,,,,,35.6690506,-83.39644197,24000,,,Interpolation-Digital Map Source,NAD83,2719.6,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0047,Lower Cannon Creek,River/Stream Perennial,Stream System: Middle Prong Little Pigeon  Stream Order: 2  UTMX=282901; UTMY=3950920  Other: From original park report: Route 2 - Middle Prong of the Little Pigeon River. Site 47 (Old Site 27C) - just upstream of the log bridge is the confluence of Cannon and Porter Creeks - cross Porters Creek and sample Cannon Creek on other side above the cascade.  Additional: This site is co-located with 3-Pass site CAN 1D,6010107,,,,,35.68053642,-83.39950885,24000,,,Interpolation-Digital Map Source,NAD83,2452.7,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0048,Porters Creek at Gate,River/Stream Perennial,Stream Order: 4  UTMX=283132; UTMY=3951860  Survey Period: 1993-1996  Other: From original park report: Route 2 - Middle Prong of the Little Pigeon River. Site 48 (Old Site 27) - Porters Creek at 2080 ft. just above confluence of Long Branch near the hiking club cabin - this is where the gate is located.  Porters Creek at end of admin road where trail takes off from loop.  Additional: Co-located with AQ_MPLP_2.,6010107,,,,,35.68814696,-83.3966839,24000,,,Interpolation-Digital Map Source,NAD83,2151.4,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0049,Porters Creek at Bridge to Ramsay,River/Stream Perennial,"Stream System: Middle Prong Little Pigeon  Stream Order: 4  UTMX=284467; UTMY=3953929  Other: From original park report: Route 2 - Middle Prong of the Little Pigeon River. Site 49 (Old Site 26) - Porters Creek at 1650 ft., above the confluence with Middle Prong at the bridge to Ramsay Cascades Trailhead.",6010107,,,,,35.70768311,-83.38249308,24000,,,Interpolation-Digital Map Source,NAD83,1668.8,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0050,Middle Prong Little Pigeon Below Porters,River/Stream Perennial,Stream System: Middle Prong Little Pigeon  Stream Order: 5  UTMX=284408; UTMY=3954070  Other: From original park report: Route 2 - Middle Prong of the Little Pigeon River. Site 50 (Old Site 8) - Middle Prong below confluence of Porters Creek - this is about 200 yards past the Ramsay Cascades bridge.,6010107,,,,,35.70884801,-83.38280846,24000,,,Interpolation-Digital Map Source,NAD83,1657.7,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0052,Middle Prong Little Pigeon at Boundary,River/Stream Perennial,Stream System: Middle Prong Little Pigeon  Stream Order: 5  UTMX=281477; UTMY=3957410  Other: From original park report: Route 2 - Middle Prong of the Little Pigeon River. Site 52 (Old Site 5) - Middle Prong Pigeon River near Park Boundary where highway 321 crosses.  Additional: MPLP just inside park boundary and just downstream of second parking area on right. Co-located with AQ_MPLP_1.,6010107,,,,,35.73850121,-83.4160393,24000,,,Interpolation-Digital Map Source,NAD83,1367.7,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0066,West Prong Little Pigeon at Chimneys Picnic Area,River/Stream Perennial,"Stream System: West Prong Little Pigeon  Stream Order: 4  UTMX=274082; UTMY=3946370  Other: From original park report: Route 6 - Upper West Prong Little Pigeon River. *Site 66 (Old Site 35) - West Prong below Chimneys Picnic Area where 441 crosses - this is the replicate site for this route, collect two samples here.",6010107,,,,,35.637323,-83.49477836,24000,,,Interpolation-Digital Map Source,NAD83,2657.6,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0071,Road Prong Above Barrier Cascade,River/Stream Perennial,"Stream System: West Prong Little Pigeon  Stream Order: 3  UTMX=276295; UTMY=3946000  Other: From original park report: Route 7 - Road Prong. Site 71 (Old Site 498) - Road Prong at next bridge on the Trail after site 49C at about 3480 ft. - when starting from the Chimneys Parking Area as Trout Unlimited does, this is the third bridge encountered on the ascent.",6010107,,,,,35.63256096,-83.46826687,24000,,,Interpolation-Digital Map Source,NAD83,3485.5,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0073,Walker Camp Prong Above Road Prong,River/Stream Perennial,Stream System: West Prong Little Pigeon  Stream Order: 3  UTMX=276387; UTMY=3946037  Other: From original park report: Route 7 - Road Prong. Site 73 (Old Site 37) - Walker Camp Prong above Road Prong near the bridge just below the Chimneys Trail Parking Area - this site in only about 50 yards from site 72 but on a different stream.,6010107,,,,,35.63481868,-83.46974504,24000,,,Interpolation-Digital Map Source,NAD83,3393.8,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0074,Walker Camp Prong Above Alum Cave Creek,River/Stream Perennial,Stream System: West Prong Little Pigeon  Stream Order: 2  UTMX=278028; UTMY=3945370  Other: From original park report: Route 8 - Alum Cave Creek. Site 74 (Old Site 39) - Walker Camp Prong at the first bridge encountered on Alum Cave Trail after leaving the Parking Area.,6010107,,,,,35.62919025,-83.4509299,24000,,,Interpolation-Digital Map Source,NAD83,3852.2,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0096,Eagle Rocks Creek Above Buck Fork,River/Stream Perennial,"Stream Order: 2  UTMX=289721; UTMY=3952410  Survey Period: 1994-1995  Other: From original park report: Route 20 - Eagle Rocks Creek and Buck Fork. Site 96 (Old Site 14A) - Chapman Prong above the confluence of Buck Fork at about 3000 ft … both streams area marked no fishing - this site is the right stream as you look upslope - this is the replicate site for this route, collect two samples here.",6010107,,,,,35.69478677,-83.32450074,24000,,,Interpolation-Digital Map Source,NAD83,2920.1,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0097,Buck Fork Above Eagle Rocks Creek,River/Stream Perennial,Stream Order: 3  UTMX=289789; UTMY=3952440  Survey Period: 1995-1995  Other: From original park report: Route 20 - Eagle Rocks Creek and Buck Fork. Site 97 (Old Site 14B) - Buck-Fork above the confluence of Eagle Rock Creek at about 3000 ft. - this is the left stream as you look upslope.,6010107,,,,,35.69551346,-83.32365963,24000,,,Interpolation-Digital Map Source,NAD83,2910.6,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0191,Sams Creek (Middle Prong Little River),River/Stream Perennial,"Stream System: Middle Little  Stream Order: 2  UTMX=259185; UTMY=3940688  Other: From original park report: Route 15 - Middle Prong Little River. Site 191 (Old Site 82.1) - Sams Creek above confluence with Starkey Creek - go about 50 - 100 m from campsite to confluence and go to the left, proceed about 600 m up trail - site is marked with colored tape tied to tree.",6010201,,,,,35.58250318,-83.65754235,24000,,,Interpolation-Digital Map Source,NAD83,3245,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0192,Starkey Creek (Middle Prong Little River),River/Stream Perennial,Stream System: Middle Little  Stream Order: 2  UTMX=259048; UTMY=3940640  Other: From original park report: Route 15 - Middle Prong Little River. Site 192 (Old Site 82.2A) - Starkey Creek above confluence with Sams Creek - proceed up from confluence about 50 - 100 m to flagging tape tied to tree.,6010201,,,,,35.58253805,-83.65834721,24000,,,Interpolation-Digital Map Source,NAD83,3227.3,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0195,Spring at Spence Field Shelter,River/Stream Perennial,Stream System: Springs  Stream Order: 1  UTMX=252227; UTMY=3938660  Other: Spring at Spence Field shelter.,6010202,,,,,35.56223656,-83.73384333,24000,,,Interpolation-Digital Map Source,NAD83,4765.3,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0209,Lost Creek (Little River),River/Stream Perennial,Stream System: East Little  Stream Order: 1  UTMX=270133; UTMY=3944860  Other: Route 14 -Ash Camp Prong and Silers Creek. Site 209 (Old Site 70) - Lost Creek above trail crossing - this site is above a wooden walking bridge with full hand rails on Little River Trail just downslope from the place where Fish Camp Prong Trail meets Little River Trail.,6010201,,,,,35.62142259,-83.53723609,24000,,,Interpolation-Digital Map Source,NAD83,2729,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0210,Little River Above Fish Camp Prong,River/Stream Perennial,Stream System: East Little  Stream Order: 3  UTMX=270115; UTMY=3944500  Other: Little River 50m above confluence with Fish Camp Prong.,6010201,,,,,35.61974539,-83.53821251,24000,,,Interpolation-Digital Map Source,NAD83,2730.9,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0213,Goshen Prong Above Fish Camp Prong,River/Stream Perennial,"Stream System: East Little  Stream Order: 3  UTMX=267389; UTMY=3942250  Other: Route 14 -Ash Camp Prong and Silers Creek. Site 213 (Old Site 78.3B) - Goshen Prong above confluence with Fish Camp Prong, this is just beyond Campsite #23 and the sign to the Appalachian Trail - make sure to sample the stream that flows down from the right as you look upslope -Goshen Prong Trail follows this stream upslope to the AT but do not take it.  Additional: This site is co-located with 3-Pass site EPLR_3 (213). Goshen Prong just upstream of confluence with Fish Camp Prong at campsite 23.",6010201,,,,,35.59858889,-83.56751197,24000,,,Interpolation-Digital Map Source,NAD83,3316.1,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0214,Silers Creek (Little River),River/Stream Perennial,Stream System: East Little  Stream Order: 2  UTMX=267355; UTMY=3941710  Other: Route 14 -Ash Camp Prong and Silers Creek. Site located on Silers Creek. Directions to Site 214: At sign to Appalachian Trail continue straight(in the direction you came and not up Goshen Prong Trail to the AT) - cross Goshen Prong (come up the bank via the tree root. very near the corner of Goshen Prong and Fish Camp Prong) and take the footpath (which is right on the edge of Fish Camp Prong) about 3/4 ml. until you see Silers Creek which crones the trail - do not cross the stream but proceed to the right through a patch or Rhododendron until you see the moss-covered ties or the old railroad grade - go up the railroad grade to a falls about 700 m upstream - a red flag on the trees marks the spot.,6010201,,,,,35.59372295,-83.56754909,24000,,,Interpolation-Digital Map Source,NAD83,3435.1,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0215,Ashe Camp Prong (Little River),River/Stream Perennial,Stream System: East Little  Stream Order: 2  UTMX=267168; UTMY=3942380  Other: Route 14 -Ash Camp Prong and Silers Creek. Site 215 (Old Site 78.lA) -Ash Camp Branch above confluence with Fire Cherry Branch - site is marked with colored tape tied to a tree.,6010201,,,,,35.5995549,-83.56999734,24000,,,Interpolation-Digital Map Source,NAD83,3371.1,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0218,Spring at Silers Bald Shelter,River/Stream Perennial,Stream System: Springs  Stream Order: 1  UTMX=267205; UTMY=3938475  Other: Spring feeding Lean-To Branch at Silers Bald shelter.,6010201,,,,,35.5664177,-83.56904918,24000,,,Interpolation-Digital Map Source,NAD83,5211.3,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0220,Double Springs Gap Shelter (TN side),Spring,Stream System: Springs  Stream Order: 1  UTMX=269544; UTMY=3938500  Other: From original park report: Route 21 -  Hazel Creek. Site 220 (Old Site 119F) - Unnamed tributary to Goshen Prong (Little River) on the Tennessee side of the Appalachian Trail at the springs for Double Springs Gap Shelter - this site is at 5500 ft.  Additional: Co-located with AQ_EPLR_5. Double Springs Gap shelter on TN side of ridge.,6010201,,,,,35.56593187,-83.54274493,24000,,,Interpolation-Digital Map Source,NAD83,5469.4,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0221,Hazel Creek Above Cascades,River/Stream Perennial,"Stream System: Hazel  Stream Order: 2  UTMX=265848; UTMY=3936490  Other: From original park report: Route 21 -  Hazel Creek. Site 221 (Old Site 119A) - Hazel Creek at about 4000 ft. - this site is just above the Cascades, but use altimeter to locate.",6010202,,,,,35.54750844,-83.58236016,24000,,,Interpolation-Digital Map Source,NAD83,4009.3,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0222,Hazel Creek at 3400 ft.,River/Stream Perennial,Stream Order: 1  UTMX=264386; UTMY=3935500  Survey Period: 1994-1996  Other: From original park report: Route 21 -  Hazel Creek. Site 222 (Old Site 1198) - Hazel Creek just above the Trail crossing at 3400 ft. - use altimeter to locate.,6010202,,,,,35.53473116,-83.60290792,24000,,,Interpolation-Digital Map Source,NAD83,3382.2,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0224,Hazel Creek Just Below Proctor Creek Confluence,River/Stream Perennial,Stream System: Hazel  Stream Order: 3  UTMX=262421; UTMY=3935029  Other: From original park report: Route 21 -  Hazel Creek. Site 224 (Old Site 119C) - Hazel Creek at 3000 ft. - as you leave the old horse camp there will be a small hump covered with Rhododendron on the left that separates the trail from the stream - as the Rhododendron thins out and the hump ends the trail gets close to the stream - sample here - use altimeter to help locate. Other: Hazel Creek 50m downstream of confluence with Proctor Creek.,6010202,,,,,35.53012038,-83.62072668,24000,,,Interpolation-Digital Map Source,NAD83,3036.9,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0233,Walker Camp Prong Above Alum Cave,River/Stream Perennial,Stream System: West Prong Little Pigeon  Stream Order: 2  UTMX=280158; UTMY=3944116  Other: From original park report: Route 6 - Upper West Prong Little Pigeon River. Site 233 (Old Site 39) - Walker Camp Prong above the first bridge above Alum Cave Trailhead on U.S. 441.,6010107,,,,,35.6193053,-83.42631581,24000,,,Interpolation-Digital Map Source,NAD83,4286.3,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0234,Upper Road Prong,River/Stream Perennial,Stream System: West Prong Little Pigeon  Stream Order: 1  UTMX=278028; UTMY=3943220  Other: From original park report: Route 7 - Road Prong. Site 234 (Old Site 49E) - Road Prong at 5000 ft. - use altimeter to locate - this site is about 200 yards from the parking area - you will hear the stream on your right then see it as it approaches the trail - Clingmans Dome Quad. - this site will be collected by group 24 as long as Trout Unlimited is collecting the lower sites on this route.,6010107,,,,,35.60979436,-83.45042917,24000,,,Interpolation-Digital Map Source,NAD83,5044,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0237,Walker Camp Prong at Last Bridge,River/Stream Perennial,"Stream System: West Prong Little Pigeon  Stream Order: 2  UTMX=281103; UTMY=3944736  Other: From original park report: Route 9 - Walker Camp Prong. *Site 237 (Old Site 40) - Walker Camp Prong above the highest bridge crossing on U.S. 441 - this is where you are parked - this is the replicate site for this route, collect two samples here.",6010107,,,,,35.62411836,-83.41694411,24000,,,Interpolation-Digital Map Source,NAD83,4518,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0244,NE stream at Noland Divide Watershed,River/Stream Perennial,Stream Order: 1  UTMX=275218; UTMY=3938280  Survey Period: 1993-1996  Other: From original park report: Route 24 - Noland Creek. Site 244 (Old Site 130A) - Noland Creek at Clingmans Dome Pumphouse Road - this is just above the North East (upslope) flume for the Noland Divide Watershed Study.,6010203,,,,,35.56481444,-83.47993069,24000,,,Interpolation-Digital Map Source,NAD83,5503.3,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0251,Beech Flats Above US 441 Loop,River/Stream Perennial,"Stream System: Oconaluftee  Stream Order: 2  UTMX=281187; UTMY=3942310  Other: From original park report: Route 27 - Beech Flats and Oconaluftee River. *Site 251 (Old Site 146) - Beech Flats Prong above road crossing after road descends from Thomas Divide - this site is in a very dangerous sharp curve at the beginning of the switchback leading up to Newfound Gap - the best thing to do, particularly If traffic is heavy, is to park at the quiet walkway pullout on the right above the site and walk along the road back to the site - the site is easily identified because the stream flows through a double culvert under the road - this is the replicate site for this route, collect two samples here.",6010203,,,,,35.60234632,-83.41569701,24000,,,Interpolation-Digital Map Source,NAD83,4024.8,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0252,Beech Flats Below Roadcut,River/Stream Perennial,Stream System: Oconaluftee  Stream Order: 1  UTMX=279516; UTMY=3942840  Other: From original park report: Route 27 - Beech Flats and Oconaluftee River. Site 252 (Old Site 147) - Beech Flats Prong below the two culverts in the side of the hill - this site is just below a trap line that runs across the valley perpendicular to the stream that is marked with flagging tape on posts.,6010203,,,,,35.60680663,-83.4337291,24000,,,Interpolation-Digital Map Source,NAD83,4684.5,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0253,Beech Flats Above Roadcut,River/Stream Perennial,Stream System: Oconaluftee  Stream Order: 1  UTMX=279409; UTMY=3942860  Other: From original park report: Route 27 - Beech Flats and Oconaluftee River. Site 253 (Old Site 148) - Beech Flats Prong above the parking area - go to the back of the parking lot on the uphill side and you will see the small stream running into a conduit beneath the lot - that stream is the site.,6010203,,,,,35.60760873,-83.43694065,24000,,,Interpolation-Digital Map Source,NAD83,4874.7,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0255,Deep Creek at 3820,River/Stream Perennial,Stream Order: 1  UTMX=279983; UTMY=3941010  Survey Period: 1993-1996  Other: From original park report: Route 28 - Deep Creek. Site 255 (Old Site 136A) - Deep Creek at first Trail crossing at about 3820 ft.   Additional: Deep Creek upstream of trail above fish barrier at fish site 3. Co-located with AQ_DPC_4.,6010203,,,,,35.59014886,-83.42846234,24000,,,Interpolation-Digital Map Source,NAD83,3826.1,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0256,Deep Creek at 3215,River/Stream Perennial,Stream Order: 3  UTMX=280178; UTMY=3938550  Survey Period: 1993-1996  Other: From original park report: Route 28 - Deep Creek. Site 256 (Old Site 136B) - Deep Creek at about 3225 ft. - use an altimeter to locate the site - the Trail is close to the stream but about 20-30 feet above it.   Additional: Deep Creek just upstream of the Poke Patch campsite. Same as AQ_DPC_3.,6010203,,,,,35.56843225,-83.42560269,24000,,,Interpolation-Digital Map Source,NAD83,3209.8,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0259,Deep Creek at Campsite 58,River/Stream Perennial,Stream Order: 1  UTMX=279995; UTMY=3932890  Survey Period: 1994-1996  Other: From original park report: Route 28 - Deep Creek. Site 259 (Old Site 136E) - Deep Creek below Nicks Nest Branch confluence at 2400 ft near campsite 58.  Additional: Deep Creek at campsite 58. Same as AQ_DPC_2,6010203,,,,,35.51593796,-83.42436664,24000,,,Interpolation-Digital Map Source,NAD83,2338.4,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0266,Oconaluftee River at Visitors Center,River/Stream Perennial,Stream System: Oconaluftee  Stream Order: 5  UTMX=290926; UTMY=3932586  Other: From original park report: Route 27 - Beech Flats and Oconaluftee River. Site 266 (Old Site 138) - Oconaluftee River at Oconaluftee Visitors Center.,6010203,,,,,35.51412261,-83.30600136,24000,,,Interpolation-Digital Map Source,NAD83,2020.6,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0268,Oconaluftee River Below Smokemont,River/Stream Perennial,Stream System: Oconaluftee  Stream Order: 5  UTMX=290659; UTMY=3936607  Other: From original park report: Route 27 - Beech Flats and Oconaluftee River. Site 268 (Old Site 139) - Oconaluftee River below the bridge leading into Smokemont Campgrounds.,6010203,,,,,35.55282957,-83.30949585,24000,,,Interpolation-Digital Map Source,NAD83,2175.1,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0270,Beech Flats at Kephart Footbridge,River/Stream Perennial,Stream System: Oconaluftee  Stream Order: 3  UTMX=285934; UTMY=3940851  Other: From original park report: Route 27 - Beech Flats and Oconaluftee River. Site 270 (Old Site 144) - Beech Flats above Kephart Prong at footbridge - this footbridge is easily visible from the road and is the place where group 26 begins its hike.,6010203,,,,,35.58823412,-83.36274553,24000,,,Interpolation-Digital Map Source,NAD83,2801.3,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0291,Bunches Creek Above Balsam Mountain Road,River/Stream Perennial,Stream System: Bunches  Stream Order: 1  UTMX=302974; UTMY=3938635  Other: From original park report: Route 16 - Abrams Creek. Site 291 (Old Site 153B) - station code unassigned Bunches Creek above Balsam Mountain Road crossing at about 5320 ft. - this site can be identified by either listening for the sounds of a stream on the right while driving along the road or noticing the gate to an old access road that heads off to the right - this gate is just beyond the stream by about 30 m.,6010203,,,,,35.57360643,-83.17421768,24000,,,Interpolation-Digital Map Source,NAD83,5261.8,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0310,Bone Valley Creek (Hazel Creek),River/Stream Perennial,Stream System: Hazel  Stream Order: 3  UTMX=256885; UTMY=3931580  Other: From original park report: Route 21 -  Hazel Creek. Site 310 (Old Site 120A) - Bone Valley Creek just above the confluence of Hazel Creek at the bridge at about 2280 ft.  Additional: This site is co-located with 3-Pass site HAZ_2 (310). Bone Valley Creek 10m upstream of bridge crossing on Hazel Creek trail.,6010202,,,,,35.50024564,-83.68029929,24000,,,Interpolation-Digital Map Source,NAD83,2278.3,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0311,Hazel Creek Below Haw Gap Creek,River/Stream Perennial,Stream System: Hazel  Stream Order: 4  UTMX=256106; UTMY=3930916  Other: From original park report: Route 21 -  Hazel Creek. Site 311 (Old Site 120B) - Hazel Creek Below Sugar Fork confluence at 2190 ft. - Sugar Forks Trail comes into Hazel Creek Trail then there is a vehicle bridge over Hazel Creek - sample below the bridge.  Other: Hazel Creek below vehicle bridge just downstream of confluence of Haw Gap Branch and Hazel Creek and campsite 84. Site 20m downstream of bridge.,6010202,,,,,35.49375548,-83.68868696,24000,,,Interpolation-Digital Map Source,NAD83,2172.5,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0326,Deep Creek at Boundary,River/Stream Perennial,Stream Order: 3  UTMX=278738; UTMY=3926430  Survey Period: 1993-1996  Other: From original park report: Route 28 - Deep Creek. Site 326 (Old Site 135) - Deep Creek at bridge near entry to Deep Creek Campground.  Additional: Co-located with AQ_DPC_1.  Deep Creek just above bridge to Deep Creek campground in picnic area.,6010203,,,,,35.45832539,-83.43791935,24000,,,Interpolation-Digital Map Source,NAD83,1793.2,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0336,Flat Creek Above Falls (Bunches Creek),River/Stream Perennial,Stream System: Bunches  Stream Order: 1  UTMX=303075; UTMY=3935992,6010203,,,,,35.54984564,-83.17250362,24000,,,Interpolation-Digital Map Source,NAD83,4797.3,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0337,Bunches Creek at Flat Creek Trail,River/Stream Perennial,Stream System: Bunches  Stream Order: 2  UTMX=303536; UTMY=3936519,6010203,,,,,35.5547245,-83.16748102,24000,,,Interpolation-Digital Map Source,NAD83,4747.8,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0371,"Porters Creek about 1.2 miles south of Campsite 31, just above 4,000 ft.",River/Stream,"Porters Creek off trail up manway at elevation 4,023 feet.  UTMX=285445; UTMY=3947387  Cosby District  *AQ_MPLP_4*",6010107,,,,,35.64703735,-83.36983355,2400,,,Interpolation-Digital Map Source,NAD83,4032.9,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
